time_days,separation_u,magnification,flux,delta_magnitude
0.2088944581,3.451943146,1.010490572,1.010490572,-0.01133066458
0.2102824611,3.474852018,1.010251722,1.010251722,-0.0110739989
0.2116704642,3.497761071,1.010019476,1.010019476,-0.01082437068
0.2130584672,3.520670301,1.00979362,1.00979362,-0.01058155568
0.2144464703,3.543579704,1.009573948,1.009573948,-0.01034533774
0.2158344733,3.566489278,1.009360263,1.009360263,-0.01011550845
0.2172224763,3.589399018,1.009152375,1.009152375,-0.009891866816
0.2186104794,3.612308921,1.0089501,1.0089501,-0.009674219028
0.2199984824,3.635218986,1.00875326,1.00875326,-0.009462378121
0.2213864855,3.658129207,1.008561685,1.008561685,-0.00925616373
0.2227744885,3.681039584,1.008375211,1.008375211,-0.009055401831
0.2241624916,3.703950112,1.008193678,1.008193678,-0.008859924492
0.2255504946,3.726860789,1.008016934,1.008016934,-0.008669569635
0.2269384977,3.749771612,1.00784483,1.00784483,-0.008484180815
0.2283265007,3.772682578,1.007677225,1.007677225,-0.008303606998
0.2297145037,3.795593686,1.00751398,1.00751398,-0.008127702354
0.2311025068,3.818504932,1.007354963,1.007354963,-0.00795632606
0.2324905098,3.841416313,1.007200046,1.007200046,-0.00778934211
0.2338785129,3.864327829,1.007049105,1.007049105,-0.007626619128
0.2352665159,3.887239475,1.00690202,1.00690202,-0.007468030197
0.236654519,3.91015125,1.006758676,1.006758676,-0.00731345269
0.238042522,3.933063152,1.006618962,1.006618962,-0.007162768105
0.239430525,3.955975178,1.00648277,1.00648277,-0.007015861918
0.2408185281,3.978887327,1.006349996,1.006349996,-0.006872623428
0.2422065311,4.001799595,1.00622054,1.00622054,-0.00673294562
